,PRICE,PRICE,PRICE,PRICE,EMA,ema_period
,open,high,low,close,,
Timestamp,,,,,,
2023-06-03 04:30:00,1899.5745520842,1903.7628533575,1899.5745520842,1903.697713891,1883.0823642093055,25
2023-06-03 08:00:00,1903.5205807626,1903.7252006455,1900.8134546898,1903.4437527476,1884.6486248660976,25
2023-06-03 11:30:00,1903.5446354243,1904.3069944431,1901.2672562204,1901.2672562204,1885.9269811241209,25
2023-06-03 15:00:00,1901.123874942,1903.354564819,1889.9107141377,1892.1577548733,1886.4062714125193,25
2023-06-03 18:30:00,1892.1568346888,1892.4455583751,1884.9830478852,1888.1620117799,1886.5413283638563,25
2023-06-03 22:00:00,1888.2134131494,1891.1073976223,1886.887497579,1890.9947288638,1886.8838976330828,25
2023-06-04 01:30:00,1890.9947288638,1893.9148016119,1890.540226839,1893.9131733748,1887.4246111516766,25
2023-06-04 05:00:00,1893.9128833307,1899.4426802489,1892.6648646828,1899.3120860397,1888.3390322969094,25
2023-06-04 08:30:00,1899.3120860397,1905.7561406681,1899.2581115809,1902.8545615887,1889.455611473201,25
2023-06-04 12:00:00,1902.8545615887,1911.6505374529,1900.8647299927,1903.3025169094,1890.5207580452166,25
2023-06-04 15:30:00,1903.3025169094,1903.4894459306,1897.3195590022,1901.6081239587,1891.373632346254,25
2023-06-04 19:00:00,1901.6081239587,1910.8591460534,1901.3455786568,1901.3455786568,1892.140705139373,25
2023-06-04 22:30:00,1901.2106915181,1904.6997517671,1878.3461322373,1883.1326823014,1891.447780305683,25
2023-06-05 02:00:00,1882.8345569633,1884.8093525225,1864.6137110703,1867.9893895841,1889.643288711715,25
2023-06-05 05:30:00,1868.0469492572,1872.090188693,1868.0469492572,1871.8766626837,1888.2766251710987,25
2023-06-05 09:00:00,1871.7472081092,1871.8702404608,1866.1414663696,1869.6741570266,1886.8456660830605,25
2023-06-05 12:30:00,1869.4676106167,1869.8929953561,1822.9341578713,1822.9341578713,1881.9293962206175,25
2023-06-05 16:00:00,1824.2108325455,1824.2108325455,1786.851872142,1801.6780523867,1875.7562159257009,25
2023-06-05 19:30:00,1801.9017632959,1809.4498067895,1796.7762887956,1809.3312864,1870.6466059621855,25
2023-06-05 23:00:00,1809.3312864,1815.3603013699,1805.8990038384,1811.5386069653,1866.099836808579,25
2023-06-06 02:30:00,1811.538637132,1818.2511113574,1811.538637132,1817.0925884873,1862.330048476173,25
2023-06-06 06:00:00,1816.9596493887,1817.085704074,1814.3877175447,1816.3780402304,1858.7952786111136,25
2023-06-06 09:30:00,1816.3780402304,1821.4237521038,1800.8887200255,1809.4117812474,1854.9965480446742,25
2023-06-06 13:00:00,1809.3271201915,1841.86081129,1801.9726610055,1838.3580811282,1853.7166659741763,25
2023-06-06 23:30:00,1840.1905718399,1887.2051709064,1840.1905718399,1875.5786661474,1855.3983582951937,25
2023-06-07 03:00:00,1875.2051073458,1881.6813726435,1873.0292326809,1881.6813542865,1857.420127217602,25
2023-06-07 06:30:00,1881.6813542894,1881.682196196,1854.0831330721,1854.0831330721,1857.1634353602558,25
2023-06-07 10:00:00,1854.0287489162,1875.491300143,1846.3442809806,1864.8152059772,1857.7520331000208,25
2023-06-07 13:30:00,1864.8152059772,1866.8410418965,1836.2118896603,1842.761079596,1856.5988828304808,25
2023-06-07 17:00:00,1842.761153977,1850.5442541043,1839.2154807232,1841.3188283663,1855.4234940255437,25
2023-06-07 20:30:00,1841.3188283693,1842.778370139,1824.3564235389,1832.5357868787,1853.6629011680943,25
2023-06-08 00:00:00,1832.5371398865,1842.5045072527,1831.8393045654,1831.8393045654,1851.9841629678872,25
2023-06-08 03:30:00,1831.8393295102,1847.3740213802,1831.838145409,1841.5215121169,1851.1793436716575,25
